creator_id,ticker,market,action,direction,conviction,call_date,entry_date,primary_horizon,used_symbol,in_universe,entry_price,stock_return,benchmark_return,alpha,signed_return,hit,scored,score_error,price_target,horizon,source_url,quote
akshat-shrivastava,NIFTY50,india,buy,up,med,2025-09-20,,,,,,,,,,,False,no price data,,6m,https://www.youtube.com/watch?v=-3wVJLcRMAI,I see an upside of 13 14%... India is a great trading market make your quick money rotate it move to other assets. By December we will definitely see like a 1 mill rally. I've already built position on it.
akshat-shrivastava,QQQ,india,buy,up,med,2025-09-20,,,,,,,,,,,False,no price data,,1y,https://www.youtube.com/watch?v=-3wVJLcRMAI,"I'm expecting a 12 to 13% CAGR by next year right... NASDAQ typically grows by 15 16%, so I expect similar growth rate. US is still a good economy to invest."
akshat-shrivastava,BTC-USD,india,buy,up,med,2025-09-20,,,,,,,,,,,False,no price data,,1y,https://www.youtube.com/watch?v=-3wVJLcRMAI,Bitcoin is consolidating. I have already put another little bit of bulk money onto Bitcoin. I think over the next one year there is a good probability that it will do well.
akshat-shrivastava,SILVER,india,buy,up,med,2025-09-20,2025-09-22,1y,SILVER.NS,False,133.5,0.7312,-0.0472,0.7784,0.7312,True,True,,,1y,https://www.youtube.com/watch?v=-3wVJLcRMAI,I would say that I'm slightly more bullish on silver compared to gold right now if you want to put money. Gold to silver ratio massive divergence - silver is going to go up over a 5 to 7 year basis.
akshat-shrivastava,NIFTY50,india,buy,up,med,2025-11-20,,,,,,,,,,,False,no price data,,1y,https://www.youtube.com/watch?v=-GrvB8ATn54,Nifty50 good market 2026 might be a very good year for Nifty50. It might give 15 16% CAG. I have already put close to a million dollars on Nifty50.
akshat-shrivastava,META,india,buy,up,high,2025-11-20,2025-11-20,1y,META.BO,False,21.5305,-0.6424,-0.0832,-0.5592,-0.6424,False,True,,,1y,https://www.youtube.com/watch?v=-GrvB8ATn54,Meta has corrected quite a lot recently... corrected by 32% from its peak... I've added a lot more here. It's 10% of my portfolio. These are hyperscalers. They will survive right in the next 4 5 years.
akshat-shrivastava,AMZN,india,buy,up,med,2025-11-20,,,,,,,,,,,False,no price data,,1y,https://www.youtube.com/watch?v=-GrvB8ATn54,"Amazon is a great long-term investment... if Amazon falls till here, I will add more. I had categorically said that it will follow this channel and it is precisely following this channel."
akshat-shrivastava,BAJFINANCE,india,sell,neutral,med,2025-06-20,2025-06-20,1m,BAJFINANCE.NS,True,905.0,0.0409,-0.0057,-0.0466,-0.0409,False,True,,,1m,https://www.youtube.com/watch?v=-TL-_GO5vrE,I have started to cut my positions... if I have 100 units of money on Bajach Finance right now what I'm doing is that I'm booking 20% profits. Rest of the positions I will carry.
akshat-shrivastava,JIOFIN,india,sell,neutral,med,2025-06-20,2025-06-20,1m,JIOFIN.NS,True,293.7919,0.0768,-0.0057,-0.0825,-0.0768,False,True,,,1m,https://www.youtube.com/watch?v=-TL-_GO5vrE,Geo Finance from the bottom has given roughly 48% run up... hitting the resistance point right so technically it's a sell so booking some basic profit on bajach finance and geo finance like 20 30% kind of makes sense.
akshat-shrivastava,HDFCBANK,india,sell,neutral,med,2025-06-20,2025-06-20,1m,HDFCBANK.NS,True,969.2487,0.0072,-0.0057,-0.013,-0.0072,False,True,,,1m,https://www.youtube.com/watch?v=-TL-_GO5vrE,HDFC Bank is slightly overvalued on a short frame. I am booking like maybe 15 20% profit rotating it to undervalued or turnaround stocks.
akshat-shrivastava,LICI,india,buy,up,med,2025-06-20,2025-06-20,1y,LICI.NS,False,924.2942,-0.5238,-0.0438,-0.48,-0.5238,False,True,,,1y,https://www.youtube.com/watch?v=-TL-_GO5vrE,"LIC it kind of makes sense to build positions. Has it been able to grow its revenues? Yes. Has it been able to grow its net profits? Yes. One could argue that hey, this type of a stock is undervalued."
akshat-shrivastava,PBFINTECH,india,buy,up,med,2025-06-20,,,,,,,,,,,False,no price data,,1y,https://www.youtube.com/watch?v=-TL-_GO5vrE,"One of the bets that I'm keen on taking is PB fintech... on a long frame, this seems like a good bet. Sales have exploded, the company has become net profitable, EPS has turned positive."
akshat-shrivastava,TCS,india,buy,up,med,2025-06-20,2025-06-20,1y,TCS.NS,True,3350.449,-0.3658,-0.0438,-0.322,-0.3658,False,True,,,1y,https://www.youtube.com/watch?v=-TL-_GO5vrE,"I am adding a little bit of TCS... trading at its fourth fifth support. Even if it turns around and reaches its highest ever levels, there is a 30% margin at play. This is the aggregation zone for the stock."
akshat-shrivastava,NIFTY50,india,buy,up,med,2026-05-20,,,,,,,,,,,False,no price data,26500,6m,https://www.youtube.com/watch?v=1Z9clwZ1wMs,"If you want to sell, sell it at roughly 26,500 levels when Nifty goes back to 26,500. Maybe it will happen in 1 month, maybe it will happen in 6 months. If you want to invest more in the Indian markets right now, do it, this is a good time."
akshat-shrivastava,AMD,india,buy,up,med,2025-06-20,,,,,,,,,,,False,no price data,,1y,https://www.youtube.com/watch?v=1v2AqIZaSAc,AMD stock from its peak has corrected by roughly 50%... if you feel that okay this is a fundamentally good buy on a five six year basis then it's a great time to aggregate the stock now.
akshat-shrivastava,SOXX,india,buy,up,med,2025-06-20,,,,,,,,,,,False,no price data,,1y,https://www.youtube.com/watch?v=1v2AqIZaSAc,"Something like semiconductor index is still available at somewhat of a reasonable price. It has corrected by 15 16%, there has already been a one-year time correction on semiconductor index."
akshat-shrivastava,TRENT,india,hold-avoid,neutral,med,2025-06-20,2025-06-20,6m,TRENT.NS,True,5897.5,-0.3112,0.034,0.3452,0.3112,True,True,,,,https://www.youtube.com/watch?v=2J3Zve41acI,if you take a look at defense companies Railway companies 10 10 times trading very high P stocks right a lot of companies Trent for example right it's trading at like 130 by 140p crazy crazy number okay now if you're buying these very high valuation companies so be very careful
akshat-shrivastava,AMZN,us,buy,up,high,2026-06-17,2026-06-17,1y,AMZN,True,237.5,0.029,0.0104,0.0186,0.029,True,True,,,1y,https://www.youtube.com/watch?v=3FEgTFkb4Wo,"I genuinely feel that companies like Amazon, Google, Meta, Microsoft, they will all grow at least double in value 100% over the next 5 years from this current levels. Okay. Uh this is something that I am also betting on."
akshat-shrivastava,GOOGL,us,buy,up,high,2026-06-17,2026-06-17,1y,GOOGL,True,363.79,0.0117,0.0104,0.0013,0.0117,True,True,,,1y,https://www.youtube.com/watch?v=3FEgTFkb4Wo,"I genuinely feel that companies like Amazon, Google, Meta, Microsoft, they will all grow at least double in value 100% over the next 5 years from this current levels. Okay. Uh this is something that I am also betting on."
